Date,AAPL,JNJ,JPM,NVDA,T,TSLA,WMT,XOM
2023-10-12,179.16021728515625,147.86737060546875,140.81031799316406,46.91999435424805,13.29568862915039,258.8699951171875,51.89373016357422,100.19768524169922
2023-10-13,177.31619262695312,148.3592071533203,142.92520141601562,45.43678283691406,13.212876319885254,251.1199951171875,52.18103790283203,103.39737701416016
2023-10-16,177.1873016357422,149.0023956298828,142.78036499023438,46.0704460144043,13.258882522583008,253.9199981689453,52.631587982177734,103.47264862060547
2023-10-17,175.63075256347656,147.6403350830078,142.47134399414062,43.91459655761719,13.415302276611328,254.85000610351562,52.70014190673828,104.82782745361328
2023-10-18,174.3319854736328,144.46221923828125,140.90689086914062,42.17352294921875,13.176072120666504,242.67999267578125,52.73931121826172,106.29592895507812
2023-10-19,173.95526123046875,144.0744171142578,140.30813598632812,42.078575134277344,14.040980339050293,220.11000061035156,52.48793029785156,106.36180114746094
2023-10-20,171.3973846435547,144.7176055908203,138.04837036132812,41.364952087402344,14.151396751403809,211.99000549316406,51.831703186035156,104.53608703613281
2023-10-23,171.51634216308594,143.1947784423828,136.16525268554688,42.95210647583008,13.755744934082031,212.0800018310547,52.566280364990234,103.00210571289062
2023-10-24,171.9525604248047,143.04342651367188,136.3294219970703,43.639739990234375,14.289413452148438,216.52000427246094,53.29759216308594,102.00456237792969
2023-10-25,169.6326446533203,143.3650360107422,135.58580017089844,41.756744384765625,13.976573944091797,212.4199981689453,53.13761520385742,102.1927719116211
2023-10-26,165.458740234375,140.9341583251953,135.9334716796875,40.30451965332031,13.912164688110352,205.75999450683594,52.81440353393555,101.26109313964844
2023-10-27,166.77734375,137.7182159423828,131.03732299804688,40.47842788696289,13.636130332946777,207.3000030517578,52.61851501464844,99.33187103271484
2023-10-30,168.82957458496094,139.07080078125,132.70799255371094,41.139076232910156,14.040980339050293,197.36000061035156,53.222496032714844,99.6424331665039
2023-10-31,169.3054656982422,140.3098602294922,134.29176330566406,40.758277893066406,14.169797897338867,200.83999633789062,53.34982681274414,99.61419677734375
